0.1	1.39029e-18	1.58782e-31
0.2	2.96169e-05	2.96169e-05
0.3	7.51643e-06	7.51643e-06
0.4	2.87524e-06	2.87524e-06
0.5	8.91481e-07	8.91481e-07
0.6	2.22436e-09	2.22436e-09
0.7	3.92292e-07	3.92292e-07
0.8	5.49266e-07	5.49266e-07
0.9	5.88446e-07	5.88446e-07
1	5.69392e-07	5.69392e-07
1.1	5.23095e-07	5.23095e-07
1.2	4.66075e-07	4.66075e-07
1.3	4.07149e-07	4.07149e-07
1.4	3.50893e-07	3.50893e-07
1.5	2.995e-07	2.995e-07
1.6	2.5382e-07	2.5382e-07
1.7	2.13958e-07	2.13958e-07
1.8	1.79618e-07	1.79618e-07
1.9	1.50312e-07	1.50312e-07
2	1.25476e-07	1.25476e-07
