0.0197642	0.723785
0.0395285	0.702886
0.0592927	0.681414
0.0790569	0.657867
0.0988212	0.633429
0.118585	0.609193
0.13835	0.58563
0.158114	0.562908
0.177878	0.541065
0.197642	0.52008
0.217407	0.49992
0.237171	0.480547
0.256935	0.461927
0.276699	0.444029
0.296464	0.426824
0.316228	0.410286
0.335992	0.394389
0.355756	0.379107
0.37552	0.364417
0.395285	0.350296
0.415049	0.336723
0.434813	0.323675
0.454577	0.311132
0.474342	0.299076
0.494106	0.287486
0.51387	0.276346
0.533634	0.265637
0.553399	0.255343
0.573163	0.245448
0.592927	0.235936
0.612691	0.226793
0.632456	0.218004
0.65222	0.209556
0.671984	0.201435
0.691748	0.193629
0.711512	0.186125
0.731277	0.178912
0.751041	0.171979
0.770805	0.165314
0.790569	0.158907
0.810334	0.152749
0.830098	0.146829
0.849862	0.141139
0.869626	0.135669
0.889391	0.130411
0.909155	0.125357
0.928919	0.120499
0.948683	0.115829
0.968448	0.11134
0.988212	0.107025
