0.0197642	-0	0	0
0.0395285	-0	0	0
0.0592927	-0	0	0
0.0790569	-0	0	0
0.0988212	-0	0	0
0.118585	-0	0	0
0.13835	-0	0	0
0.158114	-0	0	0
0.177878	-0	0	0
0.197642	-0	0	0
0.217407	-0	0	0
0.237171	-0	0	0
0.256935	-0	0	0
0.276699	-0	0	0
0.296464	-0	0	0
0.316228	-0	0	0
0.335992	-0	0	0
0.355756	-0	0	0
0.37552	-0	0	0
0.395285	-0	0	0
0.415049	-0	0	0
0.434813	-0	0	0
0.454577	-0	0	0
0.474342	-0	0	0
0.494106	-0	0	0
0.51387	-0	0	0
0.533634	-0	0	0
0.553399	-0	0	0
0.573163	-0	0	0
0.592927	-0	0	0
0.612691	-0	0	0
0.632456	-0	0	0
0.65222	-0	0	0
0.671984	-0	0	0
0.691748	-0	0	0
0.711512	-0	0	0
0.731277	-0	0	0
0.751041	-0	0	0
0.770805	-0	0	0
0.790569	-0	0	0
0.810334	-0	0	0
0.830098	-0	0	0
0.849862	-0	0	0
0.869626	-0	0	0
0.889391	-0	0	0
0.909155	-0	0	0
0.928919	-0	0	0
0.948683	-0	0	0
0.968448	-0	0	0
0.988212	-0	0	0
